category,reviews,size,installs,price,suitable_for,last_update,latest_ver,app_id,popularity
FAMILY,84114,23M,"500,000+",$0.99,Everyone 10+,"July 5, 2018",1.13.108869,5196,High
LIFESTYLE,12,6.0M,500+,0,Everyone,"February 26, 2018",4.9.940,5205,High
MEDICAL,104,38M,"1,000+",$2.99,Teen,"May 24, 2018",3.2.0,6115,High
BEAUTY,36,6.7M,"10,000+",0,Everyone,"July 26, 2018",6.0,2633,High
FAMILY,4,30M,500+,0,Everyone,"July 23, 2018",5.11,7665,Low
TOOLS,29944,2.1M,"5,000,000+",0,Everyone,"October 3, 2015",1.6,651,High
FINANCE,8188,22M,"100,000+",0,Everyone,"July 31, 2018",2.29.01,3270,High
MEDICAL,18674,Varies with device,"1,000,000+",0,Everyone,"July 27, 2018",3.25.0,3325,High
GAME,41444,56M,"1,000,000+",0,Teen,"July 31, 2016",1.0.11,2758,High
FAMILY,2936,45M,"500,000+",0,Everyone,"October 26, 2017",1.5,2728,High
PHOTOGRAPHY,47090,Varies with device,"5,000,000+",0,Everyone,"July 28, 2018",Varies with device,7799,High
NEWS_AND_MAGAZINES,202,38M,"10,000+",0,Everyone 10+,"June 20, 2018",5.9.5,4550,Low
FAMILY,26347,48M,"1,000,000+",0,Everyone 10+,"September 15, 2017",14.0.1,4994,High
FOOD_AND_DRINK,91359,27M,"1,000,000+",0,Everyone,"July 5, 2018",2.0.3,9237,High
PERSONALIZATION,6466641,Varies with device,"100,000,000+",0,Teen,"July 19, 2018",Varies with device,9254,High
GAME,524467,33M,"10,000,000+",0,Teen,"July 7, 2016",1.126,1157,High
LIBRARIES_AND_DEMO,126862,624k,"10,000,000+",0,Everyone,"January 17, 2012",1.0,882,Low
PRODUCTIVITY,2078744,Varies with device,"500,000,000+",0,Everyone,"July 11, 2018",16.0.10325.20043,6197,High
FAMILY,1461698,67M,"10,000,000+",0,Everyone 10+,"May 21, 2018",0.12.334385,8017,High
LIFESTYLE,7578,25M,"1,000,000+",0,Everyone,"July 24, 2018",3.98,9411,Low
GAME,119368,19M,"10,000,000+",0,Teen,"February 21, 2017",1.1.4,7898,High
VIDEO_PLAYERS,244,Varies with device,"10,000+",0,Everyone,"June 23, 2016",Varies with device,3832,Low
BUSINESS,13,5.3M,100+,0,Everyone,"July 12, 2018",1.11.1prod,1834,High
TRAVEL_AND_LOCAL,24781,8.3M,"5,000,000+",0,Everyone,"July 11, 2018",5.6.1,7950,Low
HOUSE_AND_HOME,118,72M,"50,000+",0,Everyone,"July 10, 2018",3.7.1,1811,High
MEDICAL,22,18M,"10,000+",0,Everyone,"March 16, 2018",2.0,6846,High
FINANCE,1231,14M,"10,000+",0,Everyone,"June 12, 2018",5.9.1.0,8602,High
GAME,6143,37M,"100,000+",0,Teen,"July 25, 2018",Varies with device,7081,High
HEALTH_AND_FITNESS,499,34M,"100,000+",0,Everyone,"July 10, 2018",4.2.1,4536,Low
TOOLS,19,3.3M,500+,0,Everyone,"June 15, 2018",1.8,635,High
TRAVEL_AND_LOCAL,21443,Varies with device,"5,000,000+",0,Everyone,"January 30, 2018",Varies with device,9106,Low
BUSINESS,2,8.0M,10+,0,Everyone,"July 10, 2018",1.4.5,4166,Low
FAMILY,15,46M,"1,000+",0,Everyone,"May 31, 2017",1.0,3474,High
HEALTH_AND_FITNESS,115721,67M,"10,000,000+",0,Everyone,"July 11, 2018",3.5.0,103,High
LIFESTYLE,7869,21M,"1,000,000+",0,Everyone,"August 1, 2018",02.00.06,6815,Low
MEDICAL,395,19M,"1,000+",$9.99,Everyone,"July 16, 2018",6.5.1,3245,High
FAMILY,58104,17M,"5,000,000+",0,Teen,"July 5, 2018",4.18.1,8387,High
LIBRARIES_AND_DEMO,48,6.9M,"1,000+",0,Everyone,"May 25, 2018",1.7.2.10,2318,High
FAMILY,131,48M,"100,000+",0,Everyone,"June 13, 2018",1.1.1,2389,High
GAME,120852,21M,"10,000,000+",0,Teen,"October 24, 2017",1.1,8066,Low
FAMILY,663,25M,"50,000+",0,Everyone,"February 9, 2018",3.0.0,475,High
GAME,69115,2.4M,"10,000,000+",0,Everyone,"June 13, 2018",1.36,3282,High
SHOPPING,1371082,Varies with device,"50,000,000+",0,Teen,"August 3, 2018",Varies with device,4975,High
ENTERTAINMENT,29690,78M,"1,000,000+",0,Teen,"August 3, 2018",2.3.34 Prod,9281,High
MAPS_AND_NAVIGATION,8,Varies with device,"1,000+",0,Everyone,"September 27, 2017",Varies with device,7112,Low
MEDICAL,20,40M,"5,000+",0,Everyone,"April 10, 2018",10.4.1.000_00,6108,High
TOOLS,338449,2.8M,"10,000,000+",0,Everyone,"June 19, 2018",8.6,7709,Low
SPORTS,328,11M,"10,000+",0,Everyone,"July 31, 2018",2.0.5,1564,High
FAMILY,38,6.7M,"1,000+",0,Everyone,"June 15, 2018",5.2,4336,High
FAMILY,608,5.4M,"100,000+",0,Everyone,"May 17, 2018",4.3.2,1869,Low
TRAVEL_AND_LOCAL,120373,31M,"5,000,000+",0,Everyone,"July 31, 2018",3.19.35.999,7705,High
LIFESTYLE,10,9.4M,100+,0,Everyone,"July 15, 2016",1.6,3742,High
LIFESTYLE,22,23M,"1,000+",0,Everyone,"July 19, 2016",2.0,3131,High
COMMUNICATION,44706,Varies with device,"1,000,000+",0,Everyone,"July 25, 2018",Varies with device,9534,High
BUSINESS,3,11M,100+,0,Everyone,"January 20, 2015",1.0.16,1344,High
GAME,29940,80M,"1,000,000+",0,Everyone,"July 26, 2018",1.1.4,5988,High
FAMILY,171,1.0M,"1,000+",$10.00,Everyone,"October 18, 2016",1.7.0,9465,High
MAPS_AND_NAVIGATION,555,31M,"50,000+",0,Everyone,"December 20, 2017",2.1.2,8183,Low
COMMUNICATION,5149854,Varies with device,"100,000,000+",0,Everyone,"July 19, 2018",Varies with device,6769,High
TRAVEL_AND_LOCAL,3,12M,100+,0,Everyone,"December 30, 2015",1.8.1,4535,High
GAME,29462,44M,"1,000,000+",0,Teen,"June 14, 2018",1.1.7,5900,High
TOOLS,114,25M,"10,000+",0,Everyone,"June 9, 2018",1.5,2229,High
WEATHER,2115,1.1M,"500,000+",0,Everyone,"July 4, 2014",1.3,5958,High
NEWS_AND_MAGAZINES,10,6.3M,"1,000+",0,Everyone,"April 28, 2018",1.0,6588,High
PHOTOGRAPHY,219745,Varies with device,"50,000,000+",0,Everyone,"January 25, 2016",Varies with device,6335,Low
HOUSE_AND_HOME,2248,15M,"100,000+",0,Everyone,"August 3, 2018",v3.1.1,9648,Low
ART_AND_DESIGN,564,9.2M,"100,000+",0,Everyone,"July 11, 2018",2.1,5269,Low
FAMILY,21,49M,"1,000+",0,Everyone,"July 4, 2018",1.1,2834,High
MEDICAL,123,86M,"10,000+",0,Everyone,"June 1, 2018",0.6.88,592,High
FAMILY,2442,13M,"100,000+",0,Everyone,"July 6, 2018",2.5.111,7027,High
GAME,152658,29M,"1,000,000+",0,Teen,"September 12, 2014",2.1.8,7608,High
GAME,350,67M,"50,000+",0,Everyone,"July 27, 2018",Varies with device,4800,High
HOUSE_AND_HOME,491,15M,"100,000+",0,Everyone,"July 25, 2018",2.6.0,4906,Low
TOOLS,422,72M,"50,000+",0,Everyone,"February 23, 2018",2.4.1,4473,Low
MEDICAL,92,32M,"1,000+",$79.99,Everyone,"June 18, 2018",19.0,8803,High
SPORTS,20,8.9M,"1,000+",0,Everyone,"December 8, 2017",3.1,976,Low
ENTERTAINMENT,16372,13M,"500,000+",0,Teen,"July 18, 2018",1.16,2245,High
FAMILY,171220,42M,"5,000,000+",0,Everyone 10+,"July 28, 2015",1.2.6,7559,High
NEWS_AND_MAGAZINES,83558,Varies with device,"5,000,000+",0,Everyone,"July 18, 2018",Varies with device,5720,High
SOCIAL,479939,15M,"10,000,000+",0,Mature 17+,"July 9, 2018",1.23.3.0,6931,High
FAMILY,2231,37M,"500,000+",0,Everyone,"July 23, 2018",2.9,519,High
MEDICAL,87418,14M,"1,000,000+",0,Everyone,"July 16, 2018",2.25.0,499,High
BUSINESS,70,Varies with device,"1,000+",0,Everyone,"October 26, 2016",6.2.7,1954,Low
NEWS_AND_MAGAZINES,1820,Varies with device,"100,000+",0,Everyone,"July 5, 2018",Varies with device,146,Low
COMMUNICATION,15439,2.2M,"1,000,000+",0,Everyone,"November 7, 2016",2.0.0,761,High
TOOLS,36,12M,"5,000+",0,Everyone,"August 21, 2017",1.0.7,3845,High
GAME,10,36M,"1,000+",0,Mature 17+,"April 5, 2016",6,948,Low
COMMUNICATION,93825,11M,"5,000,000+",0,Everyone,"July 5, 2018",2.17.3,2316,High
GAME,1385093,35M,"100,000,000+",0,Everyone,"August 2, 2018",1.7.40,7503,High
BUSINESS,674730,Varies with device,"50,000,000+",0,Everyone,"May 21, 2018",Varies with device,5373,High
FAMILY,17,2.2M,"10,000+",0,Everyone,"September 24, 2017",1.22,5758,High
FINANCE,49275,91M,"500,000+",0,Everyone,"July 17, 2018",2.0.3.1,4590,High
VIDEO_PLAYERS,1522,65M,"100,000+",0,Everyone,"July 17, 2018",V1.5.3,4874,Low
PARENTING,39,18M,"10,000+",0,Everyone,"October 31, 2017",1.2,2513,High
GAME,59907,7.8M,"5,000,000+",0,Everyone,"March 6, 2018",2.9,1666,High
MAPS_AND_NAVIGATION,56471,Varies with device,"5,000,000+",0,Everyone,"July 31, 2018",Varies with device,9202,High
GAME,26247,Varies with device,"1,000,000+",0,Teen,"July 26, 2018",1.1.40,3497,High
GAME,17039,4.9M,"5,000,000+",0,Everyone,"April 13, 2018",2.9,1669,High
FAMILY,227,11M,"10,000+",0,Everyone,"October 12, 2017",2.9.0,6932,High
GAME,8116142,62M,"500,000,000+",0,Everyone,"July 5, 2018",1.49.1,8304,High
SPORTS,160,6.4M,"10,000+",0,Everyone,"August 4, 2018",4.0,1433,High
TOOLS,43,10M,"5,000+",0,Mature 17+,"July 24, 2018",2.1.2,5525,Low
MEDICAL,77,9.9M,"5,000+",$2.99,Everyone,"April 18, 2017",1.6.2,2295,Low
FAMILY,72522,51M,"10,000,000+",0,Everyone,"April 10, 2018",1.54,7089,High
GAME,1475,34M,"10,000+",$4.99,Teen,"January 2, 2018",1.0.4,6696,High
FAMILY,854,6.9M,"10,000+",$4.99,Everyone,"December 1, 2015",Varies with device,5656,High
MEDICAL,8347,2.6M,"500,000+",0,Everyone,"April 13, 2018",1.4.6,1686,High
TOOLS,40907,2.6M,"5,000,000+",0,Everyone,"July 27, 2017",6.0.932740,5095,High
FOOD_AND_DRINK,109784,64M,"10,000,000+",0,Everyone,"August 3, 2018",4.0.30,6102,Low
ENTERTAINMENT,296829,11M,"10,000,000+",0,Teen,"July 15, 2018",2.13.5,8624,High
PERSONALIZATION,61,7.5M,"10,000+",0,Everyone,"April 4, 2018",4,725,High
PERSONALIZATION,47,26k,"1,000+",$4.99,Everyone,"February 12, 2016",1.0,7551,High
GAME,1728557,Varies with device,"50,000,000+",0,Everyone,"September 20, 2017",Varies with device,8680,High
SOCIAL,226,15M,"10,000+",0,Everyone 10+,"January 31, 2018",1.122.250.1421,2797,High
TOOLS,1925,8.3M,"100,000+",0,Everyone,"November 15, 2017",3.1,2670,High
HEALTH_AND_FITNESS,51227,28M,"1,000,000+",0,Everyone,"July 13, 2018",4.0.1,7851,High
PRODUCTIVITY,404610,Varies with device,"10,000,000+",0,Everyone,"April 6, 2018",Varies with device,9152,High
FAMILY,562,20M,"50,000+",0,Everyone,"December 21, 2017",3.8.0.251918,2077,High
FAMILY,3433,23M,"50,000+",0,Everyone 10+,"March 14, 2016",1.1.0,7762,High
GAME,275447,Varies with device,"10,000,000+",0,Everyone 10+,"August 1, 2018",Varies with device,7533,High
FOOD_AND_DRINK,22071,Varies with device,"1,000,000+",0,Everyone,"June 29, 2018",Varies with device,6392,High
MEDICAL,1545,74M,"100,000+",0,Everyone,"July 30, 2018",4.8.2,9416,High
FAMILY,54,33M,500+,$2.99,Everyone,"June 29, 2018",1.2,3007,High
BOOKS_AND_REFERENCE,233757,Varies with device,"10,000,000+",0,Everyone,"May 1, 2018",Varies with device,6304,High
FAMILY,105766,48M,"10,000,000+",0,Teen,"May 24, 2018",2.2.2,11,High
SPORTS,4,40M,100+,0,Everyone,"September 21, 2017",6.0.2,1291,Low
TOOLS,27180,4.1M,"1,000,000+",0,Everyone,"July 6, 2018",3.24,7528,High
GAME,168,49M,"5,000+",$1.99,Everyone 10+,"May 18, 2017",1.00.00,4845,Low
FAMILY,37,3.3M,"1,000+",0,Everyone,"June 17, 2014",1.9,2828,High
FINANCE,207,2.9M,"10,000+",0,Everyone,"February 16, 2018",1.0.0.9,8581,Low
PHOTOGRAPHY,5276983,Varies with device,"100,000,000+",0,Everyone,"July 30, 2018",7.6.5,947,High
COMMUNICATION,4,5.4M,100+,0,Teen,"December 24, 2017",2.26.5.0,1524,High
LIFESTYLE,10097,7.5M,"500,000+",0,Everyone,"April 26, 2018",1.2,1520,High
GAME,16601,55M,"500,000+",0,Teen,"July 26, 2018",1.18.0,4402,High
ENTERTAINMENT,2646,9.1M,"100,000+",0,Teen,"February 14, 2018",2.2.0,8562,Low
WEATHER,2000,14M,"100,000+",0,Everyone,"July 31, 2018",4.1.12,8055,Low
NEWS_AND_MAGAZINES,80368,Varies with device,"10,000,000+",0,Everyone,"May 17, 2018",Varies with device,8750,High
ENTERTAINMENT,197774,44M,"10,000,000+",0,Mature 17+,"June 25, 2018",6.6.1,4276,Low
FAMILY,12919,94M,"1,000,000+",0,Everyone,"June 6, 2018",1.15.2,6818,High
PRODUCTIVITY,1880,18M,"50,000+",$1.49,Everyone,"July 1, 2018",6.08,5416,High
VIDEO_PLAYERS,197,9.8M,"10,000+",0,Everyone,"February 5, 2017",1.0,3375,Low
LIBRARIES_AND_DEMO,375,15M,"10,000+",0,Everyone,"June 1, 2018",2.0.1,7049,High
FAMILY,1595,14M,"500,000+",0,Everyone,"July 4, 2018",2.8,6318,High
LIFESTYLE,28588,24M,"1,000,000+",0,Everyone,"March 1, 2018",3.1.8,6536,High
PRODUCTIVITY,17,76M,100+,0,Everyone,"June 7, 2016",1.0.0,2871,High
MAPS_AND_NAVIGATION,3682,Varies with device,"100,000+",0,Everyone,"August 2, 2018",Varies with device,8604,High
VIDEO_PLAYERS,51,11M,"10,000+",0,Everyone,"June 26, 2018",8.0.9,3830,Low
FAMILY,83875,43M,"1,000,000+",0,Everyone,"September 8, 2017",1.6.1,5308,High
BOOKS_AND_REFERENCE,215,30M,"10,000+",0,Teen,"March 6, 2018",1.2,9651,High
FAMILY,3935,9.5M,"100,000+",0,Mature 17+,"June 7, 2018",2.9.8,4115,High
GAME,23168,54M,"1,000,000+",0,Teen,"July 9, 2018",1.3.0,98,High
FAMILY,1,5.6M,10+,0,Everyone,"June 27, 2018",1.0,1922,High
TRAVEL_AND_LOCAL,7,17M,500+,0,Everyone,"October 9, 2017",2.0.0,4062,High
FOOD_AND_DRINK,145323,42M,"10,000,000+",0,Everyone,"July 31, 2018",5.15.0,6101,Low
SHOPPING,4602,6.2M,"500,000+",0,Everyone,"December 22, 2017",3.0.0,4456,High
BUSINESS,41625,5.4M,"1,000,000+",0,Everyone,"December 21, 2017",2.3.4,1355,High
BUSINESS,12,13M,500+,0,Everyone,"May 16, 2018",3.4.2,1280,High
GAME,17988,7.9M,"100,000+",$4.99,Teen,"July 25, 2018",1.06,3345,High
FINANCE,198,11M,"10,000+",0,Everyone,"July 9, 2018",1.8.0,1920,High
MEDICAL,51,2.4M,"1,000+",$29.99,Everyone,"October 22, 2014",2.0.2,3647,Low
MEDICAL,178,4.8M,"1,000+",$0.99,Everyone,"July 22, 2018",4.1.5 (Steglitz),1683,High
BUSINESS,159872,Varies with device,"10,000,000+",0,Everyone,"July 31, 2018",Varies with device,1745,High
GAME,11379,20M,"500,000+",0,Everyone 10+,"July 29, 2018",1.4,6862,High
TOOLS,77311,Varies with device,"5,000,000+",0,Everyone,"January 9, 2018",Varies with device,6241,High
GAME,79,31M,"1,000+",0,Everyone 10+,"January 17, 2016",1.1.0,3679,High
TOOLS,80,1.7M,"10,000+",0,Everyone,"March 20, 2018",1.2,1574,High
LIFESTYLE,859,3.5M,"100,000+",0,Everyone,"July 19, 2018",1.7.7,1230,Low
FOOD_AND_DRINK,18,3.5M,"5,000+",0,Everyone,"August 15, 2016",1.0,1427,High
FAMILY,159619,23M,"5,000,000+",0,Everyone,"July 17, 2018",6.14.091,8830,High
SOCIAL,158,26M,"50,000+",0,Mature 17+,"July 19, 2018",2.3,1265,High
PERSONALIZATION,12180,5.4M,"1,000,000+",0,Everyone,"December 24, 2016",1.3,6633,High
BUSINESS,23,28M,"1,000+",0,Everyone,"April 30, 2018",2.4.1,7821,High
SHOPPING,28523,29M,"5,000,000+",0,Everyone,"August 3, 2018",18.10.157066,5864,High
NEWS_AND_MAGAZINES,185884,7.5M,"1,000,000+",0,Mature 17+,"September 17, 2017",3.1.9,9139,High
PRODUCTIVITY,661,3.4M,"100,000+",0,Everyone,"June 21, 2018",2.1.2,2575,High
COMICS,314,6.1M,"100,000+",0,Everyone,"May 23, 2018",3.1.0,3954,High
BOOKS_AND_REFERENCE,8,3.9M,"5,000+",0,Everyone,"October 7, 2016",1.0,427,High
NEWS_AND_MAGAZINES,23292,14M,"1,000,000+",0,Everyone 10+,"May 24, 2018",3.1.12,152,High
SHOPPING,18253,10M,"10,000,000+",0,Everyone,"August 6, 2018",6.3.8,2064,Low
TOOLS,33216,Varies with device,"10,000,000+",0,Everyone,"June 5, 2018",Varies with device,6326,High
TOOLS,79132,2.2M,"10,000,000+",0,Everyone,"January 3, 2018",1.1.6,3365,Low
MAPS_AND_NAVIGATION,162049,48M,"5,000,000+",0,Everyone,"August 7, 2018",18.0.2,8176,High
LIFESTYLE,9,3.1M,"1,000+",0,Everyone,"December 8, 2017",2.2,1130,High
HOUSE_AND_HOME,175293,Varies with device,"10,000,000+",0,Everyone,"July 24, 2018",Varies with device,8617,High
COMMUNICATION,32,437k,"5,000+",0,Everyone,"July 30, 2015",Version 1.6,1275,High
TOOLS,114,18M,"5,000+",0,Everyone,"March 16, 2018",1.0.209,5461,Low
COMMUNICATION,83239,14M,"5,000,000+",0,Everyone,"April 19, 2018",3.0.4,2326,High
GAME,37139,49M,"1,000,000+",0,Everyone 10+,"January 24, 2018",8,6739,High
TOOLS,7357,19M,"100,000+",0,Everyone,"July 12, 2018",4.4.1,7220,Low
NEWS_AND_MAGAZINES,76677,4.6M,"1,000,000+",0,Everyone 10+,"May 25, 2017",4.4.3,330,High
GAME,1083571,Varies with device,"50,000,000+",0,Everyone,"July 20, 2018",Varies with device,3348,High
GAME,5566805,97M,"100,000,000+",0,Everyone,"May 24, 2018",7.9.3,731,High
EDUCATION,314300,3.3M,"10,000,000+",0,Everyone,"May 2, 2018",1.94.9,5746,High
FAMILY,4,8.0M,"1,000+",0,Everyone,"June 8, 2017",1,2900,Low
HEALTH_AND_FITNESS,224,371k,"10,000+",0,Everyone,"July 9, 2014",1.2.6,52,Low
TOOLS,337532,15M,"10,000,000+",0,Everyone,"July 11, 2018",V1-180703,4435,High
COMICS,516,12M,"50,000+",0,Everyone,"August 3, 2018",1.0.6,8732,High
MEDICAL,23160,26M,"1,000,000+",0,Everyone,"July 27, 2018",7.4.1,20,High
FAMILY,589,3.6M,"100,000+",0,Mature 17+,"September 3, 2017",1.8.0,2478,High
FAMILY,39661,47M,"1,000,000+",0,Teen,"August 2, 2018",1.10.4,9039,High
FAMILY,43,3.3M,"1,000+",0,Everyone,"March 27, 2018",1.1,2179,High
FAMILY,1042,48M,"100,000+",0,Everyone,"August 4, 2017",2.5,3462,Low
FAMILY,16,10M,100+,0,Everyone,"July 22, 2017",1.0,1044,High
GAME,776730,49M,"10,000,000+",0,Everyone 10+,"July 26, 2018",2.23,1724,High
DATING,17268,40M,"500,000+",0,Mature 17+,"June 25, 2018",4.1.2,8083,High
GAME,947515,60M,"10,000,000+",0,Teen,"July 25, 2018",5.3.1,1670,High
PERSONALIZATION,7264,Varies with device,"100,000+",$1.99,Everyone,"November 16, 2017",3.6.46,7182,High
PERSONALIZATION,720,10M,"100,000+",0,Everyone,"March 13, 2018",12,4731,High
LIFESTYLE,34802,12M,"1,000,000+",0,Everyone,"June 22, 2018",5.2.2,5445,High
GAME,27856,50M,"100,000+",$2.99,Teen,"April 2, 2015",1.07,4487,High
HEALTH_AND_FITNESS,199,8.8M,"50,000+",0,Everyone,"July 24, 2018",1.0.7,5886,High
TRAVEL_AND_LOCAL,285,39M,"500,000+",0,Everyone,"January 22, 2018",10.7.8.111,8797,Low
FAMILY,16,17M,"1,000+",0,Everyone,"April 19, 2018",1.6,3591,Low
FAMILY,3482,37M,"500,000+",0,Everyone,"August 7, 2018",1.6,7048,Low
EDUCATION,29855,Varies with device,"1,000,000+",0,Mature 17+,"July 29, 2018",Varies with device,8208,High
FAMILY,3788,32M,"100,000+",0,Everyone,"July 18, 2018",3.0.1,7254,High
TRAVEL_AND_LOCAL,6895,10M,"500,000+",0,Everyone,"May 15, 2018",5.11.3.1,2842,High
TOOLS,434,3.6M,"50,000+",0,Everyone,"August 8, 2018",1.1.9,8826,High
HEALTH_AND_FITNESS,219,1.8M,"50,000+",0,Everyone,"October 30, 2015",v1.1-20151030,4478,Low
BUSINESS,327,13M,"10,000+",0,Everyone,"June 25, 2018",1.48,9015,High
FAMILY,7379,61M,"1,000,000+",0,Everyone,"March 28, 2017",1.0,5966,Low
LIBRARIES_AND_DEMO,1703,22M,"100,000+",0,Everyone,"March 1, 2018",3.1,8109,High
MAPS_AND_NAVIGATION,82,5.6M,"5,000+",0,Everyone,"February 23, 2018",5.1.0,5945,Low
FAMILY,5075,48M,"500,000+",0,Everyone,"April 4, 2017",2.1.5,3471,Low
HEALTH_AND_FITNESS,1577,2.2M,"500,000+",0,Everyone,"August 12, 2017",1.0.7,8033,High
SPORTS,162933,100M,"5,000,000+",0,Everyone,"May 11, 2018",25.7,3433,High
GAME,169661,40M,"10,000,000+",0,Everyone,"August 1, 2018",1.246,7954,High
MEDICAL,4318,12M,"100,000+",0,Everyone,"July 26, 2018",1.3.185,1445,High
FAMILY,12,8.1M,"5,000+",0,Everyone,"February 6, 2017",1.0.1,7117,High
COMMUNICATION,27540,3.7M,"1,000,000+",0,Everyone,"January 5, 2018",1.26.001,7629,High
DATING,5377,19M,"500,000+",0,Mature 17+,"July 31, 2018",4.8.5,3946,Low
FINANCE,693,32M,"100,000+",0,Teen,"May 3, 2018",1.0.95,2217,High
PRODUCTIVITY,226456,Varies with device,"10,000,000+",0,Everyone,"October 9, 2017",Varies with device,4935,High
SHOPPING,105773,Varies with device,"10,000,000+",0,Everyone,"August 5, 2018",Varies with device,8528,High
FAMILY,218881,37M,"5,000,000+",0,Everyone 10+,"March 28, 2018",0.5.10011,3495,High
GAME,59800,7.8M,"5,000,000+",0,Everyone,"March 6, 2018",2.9,1666,High
DATING,852,27M,"100,000+",0,Mature 17+,"July 30, 2018",6.4.6,6206,Low
MAPS_AND_NAVIGATION,102248,Varies with device,"5,000,000+",0,Everyone,"August 1, 2018",Varies with device,9205,High
SOCIAL,78158306,Varies with device,"1,000,000,000+",0,Teen,"August 3, 2018",Varies with device,4328,High
FINANCE,58,3.5M,"10,000+",0,Everyone,"July 4, 2017",2.3.2,9284,High
PERSONALIZATION,69488,9.7M,"1,000,000+",0,Everyone,"July 8, 2018",6.07,8933,High
NEWS_AND_MAGAZINES,735,6.3M,"500,000+",0,Everyone,"July 25, 2018",6.3.0,827,Low
DATING,42197,Varies with device,"5,000,000+",0,Mature 17+,"July 24, 2018",Varies with device,4622,High
FAMILY,59729,Varies with device,"10,000,000+",0,Everyone,"June 27, 2018",3.46,4701,High
GAME,3058687,89M,"100,000,000+",0,Everyone 10+,"July 18, 2016",1.2.0,8805,High
GAME,285814,84M,"10,000,000+",0,Teen,"June 26, 2018",3.5,7377,High
VIDEO_PLAYERS,32,33M,"5,000+",0,Everyone,"July 9, 2018",3.1.0,7218,Low
GAME,214819,91M,"5,000,000+",0,Everyone,"July 30, 2018",3.6.0,6150,High
SPORTS,340,15M,"5,000+",$1.99,Everyone,"March 17, 2018",1.18,4249,High
PHOTOGRAPHY,18,15M,"5,000+",0,Teen,"August 4, 2018",1.5,2992,High
FAMILY,6,3.9M,"1,000+",0,Everyone,"May 31, 2017",1.0,7482,High
COMMUNICATION,171031,Varies with device,"10,000,000+",0,Everyone,"August 3, 2018",Varies with device,4947,High
EDUCATION,2078,Varies with device,"100,000+",0,Everyone,"December 24, 2017",1.0.2,5589,High
SPORTS,232,32M,"50,000+",0,Everyone,"August 1, 2018",2.1.2,1650,High
SPORTS,31908,Varies with device,"1,000,000+",0,Everyone,"September 27, 2017",Varies with device,4714,High
GAME,178723,65M,"10,000,000+",0,Everyone,"December 25, 2016",4.1,6332,Low
COMMUNICATION,185,3.7M,"5,000+",0,Everyone,"May 18, 2018",8.05.18.14250,226,High
LIFESTYLE,100,7.1M,"1,000,000+",0,Everyone,"May 9, 2018",1.0.0.21_180410,9275,High
FAMILY,36813,33M,"500,000+",0,Everyone,"May 1, 2018",4.2.0,7079,High
